          250  ! number of los
mkIIlbsrp 
      3.0000      0.3000      0.0000 ! origin for (p,ksi,zeta)
! los  cam             Rdet(m)     Zdet(m)  fidet(deg)      Rst(m)      Zst(m)   fist(deg)     Rend(m)     Zend(m)  fiend(deg)        p(m)    ksi(deg)   zeta(deg)  etendue(srm2) type 
   78 KB413B           3.8351     -0.6303      0.0000      3.5905     -0.7323      0.0000      2.2567     -1.2882      0.0000      1.1800    202.6291      0.0000   0.421140E-07   2
   79 KB413C           3.8329     -0.6257      0.0000      3.5707     -0.7662      0.0000      2.4026     -1.3917      0.0000      1.2093    208.1727      0.0000   0.421140E-07   2
   80 KB413D           3.8307     -0.6211      0.0000      3.5353     -0.8180      0.0000      2.4113     -1.5669      0.0000      1.2272    213.6751      0.0000   0.405760E-07   2
   81 KB414A           3.7114     -0.7550      0.0000      3.7722     -0.3647      0.0000      3.8911      0.3986      0.0000     -0.8653     81.1443      0.0000   0.446880E-07   2
   82 KB414B           3.7165     -0.7550      0.0000      3.7304     -0.4704      0.0000      3.7986      0.9205      0.0000     -0.7672     87.1941      0.0000   0.467470E-07   2
   83 KB414C           3.7215     -0.7550      0.0000      3.7080     -0.5204      0.0000      3.5928      1.4688      0.0000     -0.6594     93.3120      0.0000   0.467470E-07   2
   84 KB414D           3.7266     -0.7550      0.0000      3.6929     -0.5502      0.0000      3.3245      1.6846      0.0000     -0.5454     99.3606      0.0000   0.446880E-07   2
   85 KB5V01A          3.2311      2.3932      0.0000      3.5484      1.5074      0.0000      3.8678      0.6155      0.0000      0.9234    289.7040      0.0000   0.615668E-07   2
   86 KB5V01B          3.2261      2.3925      0.0000      3.4198      1.6231      0.0000      3.8498     -0.0844      0.0000      0.7302    284.1330      0.0000   0.484012E-07   2
   87 KB5V01C          3.2211      2.3918      0.0000      3.3276      1.6921      0.0000      3.6743     -0.5862      0.0000      0.5333    278.6540      0.0000   0.483687E-07   2
   88 KB5V01D          3.2161      2.3911      0.0000      3.2522      1.7447      0.0000      3.4045     -0.9812      0.0000      0.3324    273.1990      0.0000   0.467045E-07   2
   89 KB5V02A          3.2101      2.3902      0.0000      3.1933      1.7857      0.0000      3.1083     -1.2676      0.0000      0.1519    268.4060      0.0000   0.345285E-07   2
   90 KB5V02B          3.2051      2.3895      0.0000      3.1520      1.8145      0.0000      2.8267     -1.7095      0.0000      0.0122    264.7260      0.0000   0.239133E-07   2
   91 KB5V02C          3.2001      2.3888      0.0000      3.1201      1.8374      0.0000      2.6176     -1.6264      0.0000     -0.1019    261.7460      0.0000   0.234426E-07   2
   92 KB5V02D          3.1950      2.3881      0.0000      3.0899      1.8591      0.0000      2.4103     -1.5618      0.0000     -0.2156    258.7630      0.0000   0.229296E-07   2
   93 KB5V03A          3.1809      2.3880      0.0000      3.1417      1.8218      0.0000      2.9211     -1.3710      0.0000      0.0365    266.0470      0.0000   0.100381E-07   2
   94 KB5V03B          3.1758      2.3887      0.0000      3.1270      1.8324      0.0000      2.8158     -1.7086      0.0000     -0.0077    264.9780      0.0000   0.106444E-07   2
   95 KB5V03C          3.1708      2.3894      0.0000      3.1119      1.8432      0.0000      2.7340     -1.6615      0.0000     -0.0542    263.8450      0.0000   0.100351E-07   2
   96 KB5V03D          3.1658      2.3901      0.0000      3.0976      1.8535      0.0000      2.6539     -1.6373      0.0000     -0.0991    262.7570      0.0000   0.101474E-07   2
   97 KB5V04A          3.1599      2.3908      0.0000      3.0831      1.8639      0.0000      2.5760     -1.6138      0.0000     -0.1434    261.7040      0.0000   0.101552E-07   2
   98 KB5V04B          3.1549      2.3915      0.0000      3.0694      1.8738      0.0000      2.4774     -1.7103      0.0000     -0.1880    260.6210      0.0000   0.999120E-08   2
   99 KB5V04C          3.1499      2.3922      0.0000      3.0558      1.8836      0.0000      2.4150     -1.5793      0.0000     -0.2333    259.5170      0.0000   0.103578E-07   2
  100 KB5V04D          3.1448      2.3929      0.0000      3.0430      1.8928      0.0000      2.3806     -1.3582      0.0000     -0.2759    258.4850      0.0000   0.981484E-08   2
  101 KB5V05A          3.1290      2.3982      0.0000      3.0039      1.9209      0.0000      2.1841     -1.2064      0.0000     -0.4073    255.3110      0.0000   0.300301E-07   2
  102 KB5V05B          3.1246      2.4007      0.0000      2.9684      1.9441      0.0000      2.0235     -0.8194      0.0000     -0.5618    251.1230      0.0000   0.365520E-07   2
  103 KB5V05C          3.1201      2.4031      0.0000      2.9275      1.9597      0.0000      1.8902     -0.4292      0.0000     -0.7275    246.5280      0.0000   0.370868E-07   2
  104 KB5V05D          3.1156      2.4055      0.0000      2.8867      1.9753      0.0000      1.8212     -0.0268      0.0000     -0.8871    241.9790      0.0000   0.418292E-07   2
  105 KB5V06A          3.1104      2.4084      0.0000      2.8420      1.9883      0.0000      1.8070      0.3684      0.0000     -1.0421    237.4230      0.0000   0.512869E-07   2
  106 KB5V06B          3.1060      2.4108      0.0000      2.7960      2.0015      0.0000      1.8405      0.7395      0.0000     -1.1897    232.8670      0.0000   0.600174E-07   2
  107 KB5V06C          3.1015      2.4132      0.0000      2.7426      2.0101      0.0000      1.8816      1.0431      0.0000     -1.3294    228.3200      0.0000   0.682730E-07   2
  108 KB5V06D          3.0971      2.4157      0.0000      2.6819      2.0178      0.0000      1.9478      1.3144      0.0000     -1.4604    223.7790      0.0000   0.760144E-07   2
  109 KB5V07A          3.1814      2.3880      0.0000      3.4506      1.5955      0.0000      3.8903      0.3007      0.0000      0.8433    288.7600      0.0000   0.672606E-07   2
  110 KB5V07B          3.1763      2.3887      0.0000      3.2952      1.7147      0.0000      3.6940     -0.5458      0.0000      0.5365    280.0050      0.0000   0.692535E-07   2
